2022-12-30 15:56:21,898 DEBUG y: 0 x: 5
2022-12-30 15:56:22,130 DEBUG y: 0 x: 6
2022-12-30 15:56:22,196 DEBUG y: 0 x: 7
2022-12-30 15:56:22,319 DEBUG y: 0 x: 8
2022-12-30 15:56:22,406 DEBUG y: 0 x: 9
2022-12-30 15:56:22,520 DEBUG y: 0 x: 10
2022-12-30 15:56:23,123 DEBUG y: 1 x: 0
2022-12-30 15:56:23,532 DEBUG y: 1 x: 1
2022-12-30 15:56:24,238 DEBUG y: 1 x: 2
2022-12-30 15:56:25,948 DEBUG y: 1 x: 3
2022-12-30 15:56:26,207 DEBUG y: 1 x: 4
2022-12-30 15:56:26,346 DEBUG y: 1 x: 5
2022-12-30 15:56:26,544 DEBUG y: 1 x: 6
2022-12-30 15:56:27,187 DEBUG y: 1 x: 7
2022-12-30 15:56:27,529 DEBUG y: 1 x: 8
2022-12-30 15:56:27,762 DEBUG y: 1 x: 9
2022-12-30 15:56:28,340 DEBUG y: 1 x: 10
2022-12-30 15:56:28,534 DEBUG y: 1 x: 11
2022-12-30 15:56:28,691 DEBUG y: 1 x: 12
2022-12-30 15:56:28,825 DEBUG y: 1 x: 13
2022-12-30 15:56:29,002 DEBUG y: 1 x: 14
2022-12-30 15:56:29,066 DEBUG y: 1 x: 15
2022-12-30 15:56:29,266 DEBUG y: 1 x: 16
2022-12-30 15:58:16,705 INFO begin
2022-12-30 15:58:17,183 DEBUG y: 0 x: 0
2022-12-30 15:58:17,347 DEBUG y: 0 x: 1
2022-12-30 15:58:17,419 DEBUG y: 0 x: 2
2022-12-30 15:58:17,522 DEBUG y: 0 x: 3
2022-12-30 15:58:17,654 DEBUG y: 0 x: 4
2022-12-30 15:58:17,754 DEBUG y: 0 x: 5
2022-12-30 15:58:17,806 DEBUG y: 0 x: 6
2022-12-30 15:58:17,955 DEBUG y: 0 x: 7
2022-12-30 15:58:18,273 DEBUG y: 0 x: 8
2022-12-30 15:58:18,351 DEBUG y: 0 x: 9
2022-12-30 15:58:18,505 DEBUG y: 0 x: 10
2022-12-30 15:58:18,604 DEBUG y: 0 x: 11
2022-12-30 15:58:18,734 DEBUG y: 0 x: 12
2022-12-30 15:58:18,863 DEBUG y: 0 x: 13
2022-12-30 15:58:18,899 DEBUG y: 0 x: 14
2022-12-30 15:58:20,217 DEBUG y: 0 x: 13
2022-12-30 15:58:20,678 DEBUG y: 0 x: 14
2022-12-30 15:58:20,763 DEBUG y: 0 x: 15
2022-12-30 15:58:20,893 DEBUG y: 0 x: 16
2022-12-30 15:58:21,023 DEBUG y: 0 x: 17
2022-12-30 15:58:21,202 DEBUG y: 0 x: 18
2022-12-30 15:58:21,414 DEBUG y: 0 x: 19
2022-12-30 15:58:21,442 DEBUG y: 0 x: 20
2022-12-30 15:58:21,567 DEBUG y: 0 x: 21
2022-12-30 15:58:21,773 DEBUG y: 0 x: 22
2022-12-30 15:58:22,117 DEBUG y: 0 x: 23
2022-12-30 15:58:22,441 DEBUG y: 0 x: 24
2022-12-30 15:58:23,478 DEBUG y: 1 x: 24
2022-12-30 15:58:23,590 DEBUG y: 1 x: 25
2022-12-30 15:58:23,919 DEBUG y: 1 x: 26
2022-12-30 15:58:24,313 DEBUG y: 1 x: 27
2022-12-30 15:58:24,476 DEBUG y: 1 x: 28
2022-12-30 15:58:24,573 DEBUG y: 1 x: 29
2022-12-30 15:58:24,660 DEBUG y: 1 x: 30
2022-12-30 15:58:24,886 DEBUG y: 1 x: 31
2022-12-30 15:58:24,988 DEBUG y: 1 x: 32
2022-12-30 15:58:25,093 DEBUG y: 1 x: 33
2022-12-30 15:58:26,051 DEBUG y: 1 x: 34
2022-12-30 15:58:26,280 DEBUG y: 1 x: 35
2022-12-30 15:58:26,382 DEBUG y: 1 x: 36
2022-12-30 15:58:26,512 DEBUG y: 1 x: 37
2022-12-30 15:58:28,177 DEBUG y: 1 x: 38
2022-12-30 15:58:29,103 DEBUG y: 2 x: 38
2022-12-30 15:58:29,416 DEBUG y: 2 x: 39
2022-12-30 15:58:29,605 DEBUG y: 2 x: 40
2022-12-30 15:58:29,737 DEBUG y: 2 x: 41
2022-12-30 15:58:30,329 DEBUG y: 2 x: 42
